NOMBRE,EQUIPAMIENTO,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,NUM,DISTRITO,LATITUD,LONGITUD
Instalación Deportiva Municipal Básica Canillas - Club Deportivo Canillas,Campo de fútbol 11 de césped artificialPista de fútbol sala de césped artificial,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=250cfb7f34a61110VgnVCM1000000b205a0aRCRD,AGUSTIN DE ITURBIDE,CALLE,1,HORTALEZA,40.46854356477104,-3.6486680716819206
Instalación Deportiva Municipal Básica Carlos II,1 Pista de baloncesto1 Pista de fútbol sala,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=225c77f0d8ae1110VgnVCM1000000b205a0aRCRD,CARLOS II,CALLE,4,SAN BLAS-CANILLEJAS,40.42766744656451,-3.6076270875712217
Instalación Deportiva Municipal Básica Carlos Solé,1 Pista de frontón corto 2 Pistas de pádel 2 Pistas de tenis,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=75d200123edb2110VgnVCM1000000b205a0aRCRD,CARLOS SOLE,CALLE,19,PUENTE DE VALLECAS,40.39214336748665,-3.649301187158133
Instalación Deportiva Municipal Básica Carmen Amaya,1 Pista baloncesto1 Pista fúbol-sala,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=50a72f68db606310VgnVCM1000000b205a0aRCRD,DOCTOR GARCIA TAPIA,AVENIDA,28-30,MORATALAZ,40.41206030334087,-3.651284078326445
Instalación Deportiva Municipal Básica Caronte,1 Pista polideportiva,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=683881f05ba65110VgnVCM1000000b205a0aRCRD,CARONTE,CALLE,4,CARABANCHEL,40.396642453268775,-3.721647689712961
Instalación Deportiva Municipal Básica Carril del Conde,1 Pista de fútbol sala,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb5cbab638551110VgnVCM1000000b205a0aRCRD,"CARRIL DEL CONDE C/V CALLE DEL PUERTO REAL, 7",CALLE,,HORTALEZA,40.45830944403495,-3.655141029725419
Instalación Deportiva Municipal Básica Carrión de los Condes,2 Pistas de petanca,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e31bfdaa18e61110VgnVCM1000000b205a0aRCRD,TEMPLARIOS,PLAZA,4,HORTALEZA,40.47430169221348,-3.6595649567170168
Instalación Deportiva Municipal Básica Casa Campo,1 Pista de baloncesto,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=139cf80f8de5c210VgnVCM1000000b205a0aRCRD,CASA DE CAMPO,PARQUE,s/n,MONCLOA-ARAVACA,40.4184340515621,-3.736143042995308
Instalación Deportiva Municipal Básica Casa Campo I Lago,1 Campo de fútbol,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=89a00e5f50e5c210VgnVCM1000000b205a0aRCRD,CASA DE CAMPO,PARQUE,s/n,MONCLOA-ARAVACA,40.41867020566187,-3.730157679235435
Instalación Deportiva Municipal Básica Casa Campo II Teleférico,1 Campo de fútbol,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=492b2a3349e5c210VgnVCM1000000b205a0aRCRD,CASA DE CAMPO,PARQUE,s/n,MONCLOA-ARAVACA,40.42111772146607,-3.737716485663515
Instalación Deportiva Municipal Básica Casa Campo III,1 Campo de fútbol,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c5e42a3349e5c210VgnVCM1000000b205a0aRCRD,CASA CAMPO,PARQUE,S/N,MONCLOA-ARAVACA,40.42663911970955,-3.735065416489925
Instalación Deportiva Municipal Básica Casa Campo IV,1 Campo de fútbol1 Campo de fútbol 7,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4887e5021ce5c210VgnVCM1000000b205a0aRCRD,CASA CAMPO,PARQUE,S/N,MONCLOA-ARAVACA,40.43184675866799,-3.739236682144013
Instalación Deportiva Municipal Básica Casalarreina,Pista polideportiva,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d1b04fbe3961110VgnVCM1000000b205a0aRCRD,CASALARREINA,CALLE,28,VICALVARO,40.40897549865364,-3.6140942577626016
Instalación Deportiva Municipal Básica Casino de la Reina,1 Pista Polideportiva1 Pista de Baloncesto,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6739309c9bc91110VgnVCM2000000c205a0aRCRD,CASINO,CALLE,3,CENTRO,40.40695673994099,-3.704292111506432
Instalación Deportiva Municipal Básica Castroserna,1 Campo de fútbol (de tierra) Tenis de mesa,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4ab5ec5543ea2110VgnVCM2000000c205a0aRCRD,CASTROSERNA,CALLE,2,LATINA,40.40251081513204,-3.749427401089634
Instalación Deportiva Municipal Básica Cazorla,1 Pista de baloncesto,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6fad7348de2c2110VgnVCM1000000b205a0aRCRD,IBROS,CALLE,3,PUENTE DE VALLECAS,40.3758356486892,-3.6659340772744127
Instalación Deportiva Municipal Básica Cementerio Civil,1 Pista de fútbol sala,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fc00dedbe1d91110VgnVCM1000000b205a0aRCRD,DAROCA,AVENIDA,101,CIUDAD LINEAL,40.42041280188907,-3.6332470504462986
Instalación Deportiva Municipal Básica Cerro Blanco,1 Pista de baloncesto1 Pista de balonmano2 Pistas de bolos y petanca,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1cb10d17980e1110VgnVCM1000000b205a0aRCRD,"ALBARDIN C/V CALLE CERRO BLANCO, 30",CALLE,7,USERA,40.37975674670092,-3.716284060235098
Instalación Deportiva Municipal Básica Cerro Cabezuelos,1 Campo de fútbol 11 de tierra,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a2690aec7b7b2110VgnVCM1000000b205a0aRCRD,VILLALOBOS,CALLE,46,PUENTE DE VALLECAS,40.379694900594856,-3.6521267878318
